Row Labels,Column Labels,
,2011/12/1,Grand Total
E09000002,37650,693692
E09000003,52562,1031160
E09000004,24336,587028
E09000005,63184,1082566
E09000006,43806,900386
E09000007,71598,1399058
E09000008,65550,1183888
E09000009,65150,1210946
E09000010,45856,918730
E09000011,44830,954532
E09000012,55804,1151756
E09000013,46852,878140
E09000014,51822,1068350
E09000015,28338,555212
E09000016,34604,666096
E09000017,47874,902295
E09000018,49536,912530
E09000019,54050,1151030
E09000020,41532,863661
E09000021,22464,445263
E09000022,73986,1470139
E09000023,54344,1020267
E09000024,28314,547507
E09000025,64022,1251015
E09000026,48514,859829
E09000027,24024,470546
E09000028,68950,1372740
E09000029,23472,482114
E09000030,58904,1141646
E09000031,49752,947777
E09000032,48784,1017738
E09000033,132630,2433639
E12000007,1629252,31740128
E13000001,823278,16219179
E13000002,799816,15352097
Grand Total,12834637,206282892
