Row Labels,COLUMN NUMBER,
,2011/12/1,Grand Total
E09000001,0,529
E09000002,384,7997
E09000003,666,8580
E09000004,357,5354
E09000005,852,13629
E09000006,394,8633
E09000007,236,8926
E09000008,583,15206
E09000009,673,11026
E09000010,893,9952
E09000011,503,13340
E09000012,1033,18585
E09000013,169,8043
E09000014,479,10507
E09000015,403,4836
E09000016,456,5453
E09000017,665,8058
E09000018,342,9889
E09000019,898,10444
E09000020,60,5258
E09000021,117,2867
E09000022,687,13411
E09000023,915,12924
E09000024,476,5283
E09000025,812,16823
E09000026,32,5622
E09000027,244,3145
E09000028,772,16644
E09000029,265,6045
E09000030,1812,22483
E09000031,641,10696
E09000032,426,9265
E09000033,187,9800
E12000007,17435,319719
E92000001,58327,1369427
(blank),,
Grand Total,93194,2008399
