LA Code,TOTAL schools
,
E09000001,2295
E09000002,35075
E09000003,57101
E09000004,41731
E09000005,46434
E09000006,51584
E09000007,29496
E09000008,59743
E09000009,52928
E09000010,53816
E09000011,41150
E09000012,34996
E09000013,24364
E09000014,39378
E09000015,35985
E09000016,37223
E09000017,49184
E09000018,38565
E09000019,23884
E09000020,24131
E09000021,26645
E09000022,34523
E09000023,39700
E09000024,29667
E09000025,53523
E09000026,53684
E09000027,30393
E09000028,42536
E09000029,34448
E09000030,41742
E09000031,40917
E09000032,40303
E09000033,29265
