Sum of Number_of_offences,Column Labels,,,,,,,,,,,,,,,,,,,
Row Labels,1999-00,2012-13,2013-14,2014-15,2015-16,2016-17,2000/1/1,2001/2/1,2002/3/1,2003/4/1,2004/5/1,2005/6/1,2006/7/1,2007/8/1,2008/9/1,2009/10/1,2010/11/1,2011/12/1,(blank),Grand Total
727,506190,7462676,0,0,0,0,0,0,12774824,12758331,11863913,11677078,10629638,9697196,9204943,8487990,8220224,7953039,,111236042
E09000002,39134,34480,32208,32470,34954,29276,40506,41076,40788,44288,42884,44124,42768,39072,39974,39686,38354,37650,,693692
E09000003,61416,50728,45448,46384,49956,43098,60426,64548,68676,72576,75774,69742,59840,53290,52748,52546,51402,52562,,1031160
E09000004,41360,24670,23674,24560,25288,22326,42144,42400,39504,40688,37718,40022,33994,33622,32342,30902,27478,24336,,587028
E09000005,66506,54520,48952,50202,52256,46474,65026,66552,67074,71674,71164,70280,60948,56252,54426,58092,58984,63184,,1082566
E09000006,52948,40496,38890,40868,42274,34486,52284,57276,60552,61836,61522,61586,56848,50390,52700,47562,44062,43806,,900386
E09000007,91600,65680,57292,56856,60370,50780,93556,106206,107780,102032,90864,84472,84870,70796,68350,67546,68410,71598,,1399058
E09000008,75486,62218,56404,57608,57902,51554,70442,74900,77236,74086,70008,69718,63020,61174,65578,66420,64584,65550,,1183888
E09000009,77474,60006,51772,51882,54064,47368,77144,78256,80294,75854,72836,74590,73468,67926,65494,67308,70060,65150,,1210946
E09000010,57176,45042,45262,44616,45884,38802,56038,58802,60084,59996,56262,54946,54116,50550,49066,48918,47314,45856,,918730
E09000011,59982,42220,39260,42046,43900,40046,56330,57990,62404,62694,62372,62708,59658,61234,57354,51244,48260,44830,,954532
E09000012,78014,55608,52062,51412,54418,49866,76484,79538,78534,78070,72984,69260,62320,64482,59426,57442,56032,55804,,1151756
E09000013,57200,43564,37970,40518,41028,35258,56472,58974,60006,57300,54278,51722,50668,46438,45856,45734,48302,46852,,878140
E09000014,68150,46754,44148,47648,52048,47788,65598,75322,78034,73614,71106,70734,61190,58974,54758,51486,49176,51822,,1068350
E09000015,33554,26926,24472,24632,26348,22618,34062,36434,39146,36860,36214,34962,31674,28148,30094,30784,29946,28338,,555212
E09000016,37574,32916,30254,30716,33702,29360,39522,43736,43074,44330,42862,43544,39994,34400,36040,34306,35162,34604,,666096
E09000017,52562,41272,38536,44038,43944,37637,53478,58148,58428,58698,55600,56754,56288,52798,50840,48330,47070,47874,,902295
E09000018,62064,45018,39336,41650,43852,38644,58068,59858,65684,60832,55816,54466,48970,47246,47496,46284,47710,49536,,912530
E09000019,76854,55730,49206,52444,56288,46072,71936,75222,78850,81632,75912,74100,70496,60456,58766,56864,56152,54050,,1151030
E09000020,61558,41678,35950,37672,39326,34921,61428,59210,63842,59746,53624,49462,48656,46970,43958,41766,42362,41532,,863661
E09000021,29298,20396,18576,19548,20310,17901,28530,27622,28660,32618,31380,30282,26210,24552,22592,22024,22300,22464,,445263
E09000022,104424,69824,65846,66050,69996,58097,101900,114184,108376,99874,91568,83936,77736,71710,70372,70916,71344,73986,,1470139
E09000023,59256,49454,44654,44218,49424,41783,55628,58016,57526,63154,69666,66774,64300,62110,63106,59106,57748,54344,,1020267
E09000024,33624,26752,23192,24328,25866,22783,33138,35494,35760,37476,34562,34598,32156,30050,30292,29680,29442,28314,,547507
E09000025,76670,63432,57900,57972,60168,51195,77552,81232,82314,81230,72920,78040,71194,70896,67038,68518,68722,64022,,1251015
E09000026,49156,44838,40088,40256,39274,34889,50452,56002,57474,56876,52346,49358,49292,45088,48820,48068,49038,48514,,859829
E09000027,31008,23606,21036,21576,21458,20158,29366,32114,33628,30892,30640,29782,26816,24146,23770,23058,23468,24024,,470546
E09000028,87468,65494,62390,60260,62844,53532,80894,91414,91920,92552,87542,82864,79426,80058,78532,74096,72504,68950,,1372740
E09000029,28986,22376,20802,21948,21898,19678,27876,30718,29974,32308,33884,32154,30816,26680,27662,26066,24816,23472,,482114
E09000030,68142,58164,54278,54696,57504,50736,70140,74546,82248,78376,72658,67512,65254,61784,55420,53980,57304,58904,,1141646
E09000031,54070,48956,44194,41564,43598,36515,51542,60520,64528,61824,58982,60286,57854,51502,52480,54532,55078,49752,,947777
E09000032,71054,50890,44482,45166,46584,41512,69512,71434,72408,67134,63282,60260,60078,54598,50176,50938,49446,48784,,1017738
E09000033,175230,124028,108108,96558,98408,83545,166758,172540,172302,158592,158676,143164,132534,127868,126662,128044,127992,132630,,2433639
E12000007,2032432,1543132,1401610,1418618,1481288,1286598,1988466,2114720,2161482,2121860,2030242,1968250,1843558,1724064,1689822,1658812,1645922,1629252,,31740128
E13000001,1075620,790300,714286,711470,748406,645085,1047858,1117838,1134140,1093306,1035080,982300,928722,877140,842420,826436,825494,823278,,16219179
E13000002,943378,747436,682356,700892,726728,633613,926374,982446,1012968,1016406,982826,973902,904730,838120,839768,825810,814528,799816,,15352097
#N/A,13434,5396,4968,6256,6154,7900,12980,12742,12646,12142,12336,12048,10106,8804,7634,6566,5900,6158,,164170
(blank),,,,,,,,,,,,,,,,,,,,
Grand Total,6590052,12086676,4199862,4249598,4437710,3851894,5949910,6328030,19243168,19111757,17942303,17569780,16150206,14860584,14266775,13457860,13152090,12834637,,206282892
