Sum of Affordable Housing Supply,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2000/1/1,2001/2/1,2002/3/1,2003/4/1,2004/5/1,2005/6/1,2006/7/1,2007/8/1,2008/9/1,2009/10/1,2010/11/1,2011/12/1,(blank),Grand Total
E09000001,0,0,0,0,40,0,70,0,30,10,20,40,0,0,19,0,130,90,10,0,0,10,0,0,10,50,0,0,,529
E09000002,53,90,128,197,115,404,194,245,241,114,518,1200,318,59,320,275,238,330,204,317,288,331,303,420,238,189,284,384,,7997
E09000003,73,405,471,428,432,228,322,413,191,357,393,442,128,320,237,150,223,226,231,243,254,407,71,347,316,214,392,666,,8580
E09000004,129,159,372,135,122,172,195,182,156,172,96,394,197,69,136,163,51,40,262,171,154,168,158,391,152,284,317,357,,5354
E09000005,423,776,690,584,754,426,416,309,356,530,277,1325,208,226,128,436,413,447,328,427,314,259,522,295,648,557,703,852,,13629
E09000006,156,415,959,477,392,474,296,270,335,358,59,211,86,74,88,171,327,183,267,276,195,372,280,350,340,323,505,394,,8633
E09000007,227,454,652,693,623,573,398,280,353,479,216,283,209,74,329,236,233,232,131,111,246,215,252,288,317,225,361,236,,8926
E09000008,476,623,577,1109,654,673,601,446,529,284,360,976,273,186,155,427,322,508,511,411,391,491,536,702,604,1037,761,583,,15206
E09000009,170,661,569,408,819,264,273,335,246,196,302,782,134,29,379,758,177,167,257,341,452,388,677,371,531,405,262,673,,11026
E09000010,171,362,306,398,329,345,258,287,206,152,130,539,64,370,205,110,341,563,493,444,480,470,486,583,196,216,555,893,,9952
E09000011,69,685,314,332,505,310,318,379,216,291,655,945,641,474,315,303,297,413,325,697,452,356,649,643,477,414,1362,503,,13340
E09000012,383,866,964,1070,1254,786,898,755,419,601,557,903,111,165,310,342,340,366,503,554,431,345,658,1016,994,1263,698,1033,,18585
E09000013,158,470,457,440,755,420,439,330,173,107,178,169,86,49,74,165,209,151,136,446,263,131,647,515,268,573,65,169,,8043
E09000014,295,672,629,677,798,493,425,418,287,387,155,424,13,186,163,94,358,319,233,517,411,555,282,378,283,304,272,479,,10507
E09000015,62,183,190,207,136,135,123,99,87,299,70,274,120,75,51,134,139,130,176,160,148,204,158,225,237,299,312,403,,4836
E09000016,5,148,117,154,72,186,110,74,191,456,265,788,71,40,29,51,42,200,96,136,166,178,163,348,635,102,174,456,,5453
E09000017,68,350,163,468,442,538,266,481,301,202,126,292,95,121,62,216,385,277,208,305,200,198,152,348,336,410,383,665,,8058
E09000018,81,497,276,432,477,368,171,260,167,81,278,733,89,286,319,494,106,236,190,451,171,315,455,928,550,455,681,342,,9889
E09000019,209,390,462,586,555,531,321,305,206,400,336,129,438,191,73,438,230,171,246,307,197,641,826,527,363,370,98,898,,10444
E09000020,163,423,395,301,726,544,397,264,318,142,125,148,108,7,61,89,124,116,75,191,28,92,86,50,161,35,29,60,,5258
E09000021,33,97,120,75,143,186,113,102,88,19,93,205,68,113,56,57,151,88,89,123,219,99,97,112,40,80,84,117,,2867
E09000022,461,945,693,694,900,518,357,354,274,319,263,800,238,80,307,287,324,244,304,430,323,561,374,499,456,705,1014,687,,13411
E09000023,260,575,537,620,823,398,438,495,236,684,250,749,228,292,329,350,321,283,403,546,592,584,343,648,149,348,528,915,,12924
E09000024,110,245,320,274,283,308,250,144,253,198,120,136,124,9,130,51,101,125,135,180,173,197,181,327,222,95,116,476,,5283
E09000025,313,711,762,550,916,562,619,517,374,285,1360,493,80,839,457,686,280,444,383,404,438,416,923,1180,567,721,731,812,,16823
E09000026,23,320,174,229,178,157,249,125,199,136,10,91,33,63,169,223,196,270,259,216,268,257,795,120,244,334,252,32,,5622
E09000027,155,102,140,281,246,116,53,107,111,33,48,78,88,55,32,45,79,74,32,151,227,156,69,163,153,62,45,244,,3145
E09000028,351,1042,784,1099,1007,444,384,282,212,483,565,1156,343,387,418,607,305,258,372,491,635,488,899,897,473,662,828,772,,16644
E09000029,31,144,132,139,321,356,91,70,149,124,89,300,86,100,188,195,246,155,283,312,421,512,217,321,426,137,235,265,,6045
E09000030,224,509,410,646,658,429,581,416,507,449,897,1231,355,1085,850,614,354,511,593,740,405,1160,1151,1384,1249,1995,1268,1812,,22483
E09000031,286,618,305,507,325,316,440,482,261,324,195,1009,229,113,412,268,416,276,409,442,258,348,308,198,561,259,490,641,,10696
E09000032,183,537,416,511,578,284,195,276,273,151,265,601,486,326,154,494,194,165,174,221,394,212,352,310,567,281,239,426,,9265
E09000033,125,485,662,730,767,932,279,308,343,88,108,350,41,299,180,276,617,432,157,149,251,391,105,178,312,471,577,187,,9800
E12000007,5926,14959,14146,15451,17148,12879,10539,9810,8287,8907,9380,18229,5789,6964,7135,9205,8273,8493,8479,10910,9845,11504,13179,15062,13293,13871,14621,17435,,319719
E92000001,29675,65721,63736,70390,74530,56546,47464,42453,35091,43118,43027,66698,32626,42223,47124,57485,33159,33015,32923,38069,37470,45983,44299,53176,55722,58288,61089,58327,,1369427
(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,41527,95639,92028,101292,108823,82301,68543,62073,51666,60936,61786,103123,44203,55949,61394,75895,49701,49998,49877,59889,57160,68994,70653,83300,82090,86034,90331,93194,,2008399
